"","y_pred"
"1",4
"2",2
"3",3
"4",0
"5",3
"6",3
"7",8
"8",5
"9",7
"10",9
"11",4
"12",3
"13",2
"14",8
"15",7
"16",7
"17",1
"18",7
"19",7
"20",7
"21",6
"22",1
"23",9
"24",4
"25",6
"26",7
"27",1
"28",3
"29",8
"30",1
"31",3
"32",5
"33",9
"34",1
"35",1
"36",6
"37",3
"38",0
"39",4
"40",4
"41",8
"42",4
"43",3
"44",0
"45",1
"46",6
"47",9
"48",2
"49",0
"50",9
"51",5
"52",8
"53",2
"54",8
"55",1
"56",3
"57",8
"58",5
"59",2
"60",4
"61",6
"62",1
"63",2
"64",1
"65",5
"66",9
"67",7
"68",9
"69",6
"70",3
"71",9
"72",7
"73",3
"74",9
"75",3
"76",9
"77",5
"78",8
"79",5
"80",5
"81",5
"82",9
"83",6
"84",3
"85",4
"86",4
"87",2
"88",8
"89",6
"90",1
"91",8
"92",2
"93",9
"94",5
"95",1
"96",3
"97",2
"98",4
"99",2
"100",8
"101",3
"102",0
"103",8
"104",1
"105",0
"106",8
"107",6
"108",4
"109",7
"110",3
"111",3
"112",8
"113",9
"114",0
"115",5
"116",5
"117",6
"118",2
"119",5
"120",5
"121",7
"122",7
"123",9
"124",0
"125",0
"126",3
"127",7
"128",5
"129",1
"130",7
"131",1
"132",7
"133",6
"134",7
"135",1
"136",7
"137",8
"138",4
"139",5
"140",7
"141",8
"142",9
"143",0
"144",6
"145",1
"146",0
"147",6
"148",1
"149",8
"150",0
"151",8
"152",0
"153",0
"154",0
"155",1
"156",1
"157",8
"158",4
"159",2
"160",1
"161",7
"162",2
"163",3
"164",3
"165",6
"166",3
"167",6
"168",0
"169",7
"170",2
"171",7
"172",9
"173",4
"174",6
"175",4
"176",4
"177",3
"178",3
"179",8
"180",8
"181",9
"182",6
"183",0
"184",7
"185",8
"186",2
"187",3
"188",0
"189",2
"190",9
"191",4
"192",9
"193",7
"194",2
"195",9
"196",5
"197",0
"198",3
"199",5
"200",7
"201",9
"202",2
"203",4
"204",3
"205",4
"206",7
"207",0
"208",6
"209",4
"210",0
"211",9
"212",0
"213",4
"214",5
"215",7
"216",9
"217",3
"218",4
"219",2
"220",4
"221",3
"222",7
"223",9
"224",1
"225",2
"226",9
"227",9
"228",5
"229",5
"230",3
"231",0
"232",7
"233",9
"234",4
"235",4
"236",8
"237",2
"238",6
"239",6
"240",1
"241",8
"242",2
"243",3
"244",4
"245",5
"246",6
"247",8
"248",8
"249",5
"250",6
"251",3
"252",7
"253",0
"254",5
"255",7
"256",3
"257",2
"258",0
"259",5
"260",4
"261",9
"262",2
"263",5
"264",3
"265",9
"266",8
"267",5
"268",7
"269",6
"270",2
"271",7
"272",2
"273",6
"274",9
"275",1
"276",4
"277",0
"278",2
"279",0
"280",6
"281",5
"282",0
"283",2
"284",7
"285",6
"286",8
"287",9
"288",1
"289",2
"290",6
"291",3
"292",7
"293",0
"294",0
"295",1
"296",6
"297",8
"298",3
"299",4
"300",3
"301",0
"302",9
"303",4
"304",4
"305",7
"306",2
"307",5
"308",5
"309",3
"310",5
"311",1
"312",9
"313",2
"314",8
"315",8
"316",5
"317",7
"318",6
"319",8
"320",6
"321",8
"322",3
"323",5
"324",4
"325",5
"326",1
"327",9
"328",4
"329",1
"330",2
"331",6
"332",1
"333",2
"334",3
"335",3
"336",4
"337",7
"338",3
"339",2
"340",3
"341",3
"342",3
